score,node_distribution_unreversed,node_distribution,node_distribution_raw,distance_to_borderlines_unreversed,distance_to_borderlines,distance_to_borderlines_raw,edge_length_sum,edge_length_sum_raw,edge_node_distance_contribution_unreversed,edge_node_distance_contribution,edge_node_distance_contribution_raw,count_edge_crossings,count_edge_crossings_raw,communities_closeness,sum_of_angles,symmetry,category
6,31.030787769536435,33.869085500489696,28.929475187859342,32.0,41.544,23.841,10.868561487916189,12.479630777489664,76.2497566609424,195.21409605437356,122.94001792002881,16,4,12.175021463078643,13.778389246497229,0.9308271359118803,BA
3,16.025741909252865,444.71715542540034,79.1251111043656,32.0,43.421,26.283,5.547612441285212,7.897278103675198,36.08351397792503,4104493.716703923,3056.9993090170055,121,11,5.590634933874041,12.406287445771246,0.9721120094014111,BA
2,14.046420868114906,286.09152819118515,72.66673862678783,32.0,43.773,26.407,4.1460000036161055,7.295847764092166,31.15453529544443,16624.79137261783,543.6755120881292,225,15,6.11548510317535,13.799697051341308,0.9844108015693629,BA
5,17.074752542323623,124.28978246293133,53.697688767787966,32.0,39.825,24.133,5.695383917226224,8.677448357126796,41.11314107384302,8184.974322278905,361.3826684955334,144,12,6.765629913595426,13.70209125188461,0.9937202755146177,BA
4,15.0812184920564,165.22718798783222,62.14775640291821,32.0,55.718,28.348,6.079888930141074,8.912060262801958,33.16358294401221,87974.11341840228,654.8599937631121,256,16,6.951905094024717,13.635594798492686,0.9806170437732545,BA
1,14.865055909767925,399.07877121363884,79.48461418927428,32.0,34.898,24.475,5.857240840383815,8.38308718738195,29.65123765873796,30257.50512254403,718.094653103271,169,13,6.76553876817065,11.894772831104468,0.9882454325951826,BA
6,33.082273407850124,30.551950038455,27.38549084202969,32.0,56.643,27.215,10.902412583864262,12.511835514814907,83.9352140738385,163.09316239863077,111.94522453470609,4,2,15.187024627991697,13.781908438161922,0.9199783859337041,BA
1,16.025741909252865,444.71715542540034,79.1251111043656,32.0,43.421,26.283,6.3681323078629815,8.767439110636465,32.132912204936865,3537905.1562745236,2490.3680844290284,576,24,5.017121691577512,12.664441651227571,0.9721120094014111,BA
3,14.046420868114906,286.09152819118515,72.66673862678783,32.0,43.773,26.407,4.265611918000168,7.527971874155046,31.89410839966492,78821038.19046538,9336.448207525234,225,15,6.249308539998042,13.922049932685216,0.9844108015693629,BA
4,17.074752542323623,124.28978246293133,53.697688767787966,32.0,39.825,24.133,5.770544179845682,8.747672109342798,40.23975573667044,9024.82920606021,390.3643509811667,121,11,7.653707928775114,13.178524240249125,0.9937202755146177,BA
