score,node_distribution_unreversed,node_distribution,node_distribution_raw,distance_to_borderlines_unreversed,distance_to_borderlines,distance_to_borderlines_raw,edge_length_sum,edge_length_sum_raw,edge_node_distance_contribution_unreversed,edge_node_distance_contribution,edge_node_distance_contribution_raw,count_edge_crossings,count_edge_crossings_raw,communities_closeness,sum_of_angles,symmetry,category
6,14.829591832624768,23.876561121522037,17.780065291477943,24.0,55.398,20.337,2.1526348329133875,3.5925602686131257,18.886689296450356,50.99385565727181,33.78237679544877,0,0,4.595035314870651,1.8187317989241545,0.9238541957617746,WS
2,9.414348666745118,125.10612945907559,33.45374991714044,24.0,48.836,22.544,2.214927106812155,3.371768452239108,11.224078082376844,6248.677875141835,184.25447728945352,4,2,4.291183550799542,1.8575739071154067,0.9942535291302317,WS
3,6.608168686945262,134.19563006785052,40.02026037787189,24.0,20.004,17.203,1.848900635792164,3.2819568379748834,6.695051718056882,8240.74214988112,206.08108145447736,25,5,2.9756551694841527,2.0576276076512547,0.9941073613316124,WS
4,7.465641116627457,140.19015915144396,39.6310390209594,24.0,12.336,14.229,2.198072788390957,3.3994772834781934,7.175087582671647,1227.6749005722304,129.13942535932335,16,4,3.3387651562719363,1.8248068873357968,0.983864968334453,WS
5,10.232899134854703,53.37312085792164,26.00649743251063,24.0,32.118,18.622,3.3597853385245378,4.151853195651076,11.855137330455534,357.60569210812986,69.22144076902805,4,2,4.698183232002907,1.9766763058448835,0.9838692028522054,WS
1,6.950917194284952,105.69088225095335,37.25337619284514,24.0,20.209,16.401,1.747609779778621,3.0933281866451203,6.556478388255687,5825.2424541502505,178.56217257921867,9,3,3.0125101273289774,1.8518893957982512,0.988859750705675,WS
6,14.57255537209699,26.504899700658104,18.55092283146853,24.0,33.367,17.258,1.8913788314173194,3.366948192490469,19.563650480066805,52.32726881897317,33.73816728847323,0,0,7.593440514856385,1.8647399760003,0.9034650643302868,WS
4,10.425147314847214,154.68329511586992,33.07102892541924,24.0,21.669,16.899,2.3329864586072393,3.4703950469426355,13.498316073978064,1672.188929034663,109.14096373769736,4,2,5.35987578491109,2.0367614025438416,0.990023985838683,WS
2,7.7849154390230915,95.4446782397167,34.72858857757396,24.0,37.811,21.189,1.404937899046109,2.7827442254119426,9.0421564371524,2235.50917597046,118.51862199280944,0,0,3.3233387689292755,1.5193730012165263,0.9825270262028463,WS
3,6.664451006072791,234.53463332010142,47.72711981986288,24.0,40.957,22.056,1.6590688082737621,2.9130459326137035,7.2265361340973895,78818045.34133099,9061.201830640357,1,1,1.9572060750444469,1.916982268794839,0.9798569707280687,WS
1,9.274367688190745,73.34697987298897,29.454298174855847,24.0,31.776,18.027,2.2322401974034456,3.2469321041036205,10.632596884625784,1271.5005635344353,95.10382537674718,9,3,3.6636963256120616,2.064679420398714,0.9854094184793196,WS
5,8.646152332388823,76.42194543782233,30.93625758181561,24.0,46.311,21.82,1.8957177168666568,3.194321013673943,10.023810704712037,270.9370668349331,71.19007338827211,1,1,3.2358135788070195,1.8274126311613124,0.9786224063540799,WS
